latitude,longitude,hour
35.69002201741324,139.69957311964598,13
35.68715971856935,139.70207716981028,21
35.69466022190358,139.6977607032232,5
35.69347863270565,139.69725278832087,23
35.69102906479824,139.69991101851258,10
35.69100164428769,139.6992689736085,0
35.690731203213296,139.70051095609608,14
35.688066990717225,139.7035159392177,6
35.69465979124529,139.69762308577458,23
35.69438460678986,139.6970808198613,20
35.69169426467962,139.69914571057683,4
35.68666684268935,139.70541479099867,20
35.6863848681841,139.70416473935447,8
35.69007688193865,139.70023582058838,21
35.691917501229085,139.70306318235012,1
35.691912067864706,139.6981158521425,6
35.69127948205716,139.7022115048126,5
35.694051319724764,139.69756479567138,9
35.69133655980416,139.7013039348411,1
35.69077682178519,139.70151926294477,6
35.69278923989645,139.6980737701079,7
35.69059753316179,139.69958503601543,2
35.69025403582088,139.69960080799336,19
35.69248278725412,139.700674681074,19
35.68945387196744,139.70049499375136,20
35.69252596377688,139.6984594973061,13
35.69060818873108,139.6988368091913,16
35.69438310977715,139.697922162803,0
35.69476457837734,139.69753683513355,6
35.69193838875574,139.7009054240932,17
35.69337286855835,139.6971228147994,10
35.69101327041054,139.6989617220217,23
35.692170631060655,139.69969269465966,4
35.68918814573471,139.703536743623,14
35.685240402600726,139.70406337484957,5
35.687356450167684,139.7040299608176,2
35.691688899298036,139.70012808799893,10
35.69035349260549,139.69988428293007,4
35.69428179931131,139.69856768675095,4
35.692962524919245,139.69933246708575,21
35.6900406597163,139.70154238514397,0
35.69116505604484,139.70035497317718,20
35.68997748726962,139.70157372699774,5
35.68838988681947,139.7022276302157,2
35.69269292259133,139.7006239552781,1
35.692976003426544,139.69674278872515,2
35.69123848384346,139.70010459858986,19
35.6937767090439,139.6987321405635,8
35.69340883088044,139.6957599501015,2
35.690969779213496,139.70144201948315,15
35.688840620026504,139.7035467335682,0
35.6929347152236,139.6975892913409,8
35.68721596412501,139.70360863882988,10
35.689217158520826,139.70452131605194,21
35.6942957031417,139.69861866393748,14
35.68751090521408,139.70329730964568,2
35.6904353827027,139.70060115965586,6
35.69136955916935,139.6993934390089,0
35.69039080475952,139.70117753124083,2
35.69102637957955,139.70233892899907,5
35.69030563362765,139.70020767608693,20
35.69235795523357,139.69988433596615,3
35.68835063009928,139.70348918713015,2
35.691759257225,139.70074617774583,22
35.69052067008016,139.69926133206152,13
35.694607080669286,139.69787961883605,7
35.6906617215393,139.69938626200857,13
35.68762234913867,139.70298360122374,7
35.69123198033057,139.70059049967978,22
35.68838824264779,139.7023035802071,13
35.69369597503386,139.69831697941777,8
35.69190321319974,139.70245685222073,22
35.69309952663116,139.7009320301933,19
35.68833951448382,139.70235422864937,3
35.69327653401763,139.69765068320388,0
35.69161479994798,139.6977037325565,10
35.694155610398255,139.69952772361952,3
35.689701895936736,139.69912684023075,23
35.69163430467556,139.69975066868807,11
35.69097005216311,139.7015618783026,4
35.687191858145596,139.70228452830287,11
35.6937651555273,139.69864193053496,16
35.68977957734009,139.70029006228464,18
35.69076255148537,139.7013528745472,7
35.690822466184805,139.70103454028805,18
35.690975433638904,139.69879803418812,3
35.69324341206982,139.69559724606512,21
35.69260400119319,139.6970691188058,22
35.68890685769513,139.70278450179768,17
35.69046041128897,139.69819224908363,7
35.69071483477102,139.69880719720064,12
35.69209368253633,139.69791689442738,2
35.69221205261048,139.69536856811658,16
35.693295064962186,139.69800686825494,13
35.6930150329625,139.69877544547077,6
35.691219174510415,139.70174045044604,9
35.69387735070276,139.69781951021108,8
35.69031922221149,139.70125371304567,16
35.69058094606433,139.6996039741432,6
35.69046416965908,139.70046929406055,10
35.69083592969987,139.69980972451665,13
35.69313043114715,139.6968764837951,18
35.691731349267066,139.70021852167042,20
35.694341492704474,139.6968345573298,0
35.68751693894832,139.703146793012,12
35.690523004840834,139.70097577978268,3
35.69006770611688,139.6981908483809,17
35.693693395783164,139.6971813833204,7
35.690768743032905,139.70047685188297,18
35.69141192409103,139.70023169176605,8
35.691708985515035,139.70070531977956,12
35.691106724047245,139.70115893860012,2
35.68738756262536,139.7033615035252,1
35.68928209892096,139.70311686938234,7
35.69405876978456,139.69891754520668,11
35.687871462488566,139.7011181509545,12
35.68879825407143,139.7028041391799,16
35.69072536214819,139.69891497784172,23
35.68896945720053,139.70342719436186,21
35.693204023156596,139.69908360607982,12
35.68705614929458,139.70190541346045,11
35.68852806836775,139.7034886919527,11
35.69076569125853,139.70121080827317,7
35.69062757229875,139.70032508915534,0
35.69229707950073,139.7034871551502,4
35.69049578298802,139.7005294112583,0
35.68703559574539,139.70256984336442,9
35.68931030874612,139.7043956838108,10
35.69217364033215,139.6999017321169,10
35.69461030236198,139.69681659381175,4
35.692122123302376,139.7005111721603,23
35.69087359424304,139.70068016115883,3
35.68978525229267,139.70049767585556,13
35.690811637040795,139.70002998897013,9
35.686392640343,139.70210021213722,14
35.68980387697526,139.70036400458804,4
35.69340656592908,139.69822898242506,22
35.69362575117253,139.6979858019756,8
35.690792697856,139.7008477169258,12
35.68798169651598,139.70339724460925,12
35.68957281464092,139.70325045240773,22
35.689098942265844,139.69985732620026,12
35.689638545166346,139.69953496077366,11
35.691070831898415,139.7016602074061,0
35.68982725697426,139.7006392468641,2
35.69122439997179,139.7000420889096,3
35.693791861762,139.69889946497116,23
35.692270450405545,139.69849669922326,20
35.690984782864646,139.70031534745814,4
35.68937547871338,139.7006409249973,20
35.686311437683216,139.70414216002825,14
35.69053823693116,139.70068012138898,16
35.690538354722314,139.70236789894292,11
35.68999063523036,139.70042887572316,19
35.68825527338742,139.70404589671548,3
35.689994267699134,139.69974623366136,23
35.6955823487441,139.69684268001302,18
35.69455605680906,139.69822323891412,13
35.6887003892815,139.69868756054242,14
35.69391469852873,139.69949191964636,12
35.69106306106743,139.70039227077774,7
35.69330509171965,139.69913377009686,16
35.69247677223386,139.69720557394655,5
